Raw,Env
2.454298,0.5328532
2.409589,0.5328532
2.320475,0.5328532
2.365032,0.5328532
2.409589,0.5328532
2.498856,0.5328532
2.632679,0.5328532
2.632679,0.5328532
2.632679,0.5328532
2.588122,0.5328532
2.588122,0.4884487
2.588122,0.5328532
2.543413,0.5328532
2.498856,0.5328532
2.498856,0.5328532
2.498856,0.5328532
2.498856,0.5328532
2.454298,0.5328532
2.320475,0.5328532
2.275765,0.5328532
2.231208,0.5328532
2.186651,0.5328532
2.186651,0.5328532
2.186651,0.4884487
2.186651,0.5328532
2.231208,0.5328532
2.231208,0.5328532
2.320475,0.5328532
2.365032,0.5328532
2.454298,0.5328532
2.543413,0.5328532
2.588122,0.5328532
2.632679,0.5328532
2.677236,0.5328532
2.721793,0.5328532
2.81106,0.5328532
2.855617,0.5328532
2.900326,0.5328532
2.81106,0.5328532
2.677236,0.5328532
2.454298,0.5328532
2.231208,0.5328532
2.052828,0.5328532
1.963561,0.5328532
1.919004,0.5328532
2.008271,0.5328532
2.142094,0.5328532
2.320475,0.5328532
2.454298,0.5328532
2.498856,0.5328532
2.588122,0.5328532
2.588122,0.5328532
2.543413,0.5328532
2.543413,0.5328532
2.498856,0.5328532
2.365032,0.5328532
2.320475,0.5328532
2.320475,0.5328532
2.320475,0.5328532
2.320475,0.5328532
2.320475,0.5328532
2.320475,0.5328532
2.320475,0.4884487
2.365032,0.5328532
2.365032,0.5328532
2.454298,0.4884487
2.498856,0.4884487
2.588122,0.5328532
2.677236,0.4884487
2.677236,0.5328532
2.588122,0.4884487
2.543413,0.5328532
2.543413,0.5328532
2.588122,0.5328532
2.677236,0.5328532
2.721793,0.5328532
2.766503,0.5328532
2.81106,0.5328532
2.766503,0.5328532
2.632679,0.5328532
2.498856,0.5328532
2.409589,0.5328532
2.320475,0.5328532
2.275765,0.5328532
2.231208,0.5328532
2.142094,0.5328532
2.097384,0.5328532
2.052828,0.5328532
2.097384,0.5328532
2.275765,0.5328532
2.588122,0.5328532
2.855617,0.5328532
2.989441,0.5328532
2.989441,0.5328532
2.989441,0.5328532
2.81106,0.5328532
2.632679,0.5328532
2.498856,0.5328532
2.409589,0.5328532
2.365032,0.5328532
2.320475,0.5328532
2.275765,0.5328532
2.275765,0.5328532
2.275765,0.5328532
2.365032,0.5328532
2.498856,0.5328532
2.632679,0.5328532
2.677236,0.5328532
2.721793,0.5328532
2.677236,0.5328532
2.632679,0.5328532
2.632679,0.5328532
2.632679,0.5328532
2.588122,0.5328532
2.543413,0.5328532
2.498856,0.5328532
2.498856,0.5328532
2.454298,0.5328532
2.409589,0.5328532
2.320475,0.5328532
2.231208,0.5328532
2.186651,0.5328532
2.142094,0.5328532
2.186651,0.5328532
2.142094,0.5328532
2.186651,0.5328532
2.231208,0.5328532
2.275765,0.5328532
2.365032,0.5328532
2.454298,0.5328532
2.498856,0.5328532
2.543413,0.5328532
2.588122,0.5328532
2.632679,0.5328532
2.721793,0.5328532
2.81106,0.5328532
2.81106,0.5328532
2.855617,0.5328532
2.81106,0.5328532
2.677236,0.5328532
2.454298,0.5328532
2.186651,0.5328532
2.008271,0.5328532
1.874447,0.4884487
1.874447,0.5328532
2.052828,0.5328532
2.231208,0.5328532
2.365032,0.5328532
2.498856,0.4884487
2.543413,0.5328532
2.588122,0.4884487
2.632679,0.5328532
2.632679,0.5328532
2.588122,0.5328532
2.498856,0.5328532
2.409589,0.4884487
2.320475,0.4884487
2.275765,0.5328532
2.275765,0.4884487
2.275765,0.4884487
2.320475,0.5328532
2.365032,0.4884487
2.320475,0.4884487
2.409589,0.5328532
2.409589,0.5328532
2.454298,0.4884487
2.498856,0.4884487
2.588122,0.4884487
2.632679,0.4884487
2.588122,0.4884487
2.543413,0.4884487
2.498856,0.4440443
2.543413,0.4884487
2.632679,0.4884487
2.677236,0.4884487
2.766503,0.4884487
2.81106,0.5328532
2.81106,0.4884487
2.721793,0.4884487
2.632679,0.4884487
2.543413,0.4884487
2.454298,0.4884487
2.320475,0.4884487
2.231208,0.4884487
2.186651,0.5328532
2.142094,0.4884487
2.142094,0.4884487
2.097384,0.4884487
2.186651,0.4884487
2.320475,0.4884487
2.498856,0.4884487
2.721793,0.4884487
2.855617,0.4884487
2.944884,0.4884487
2.900326,0.4884487
2.855617,0.4884487
2.721793,0.4884487
2.588122,0.4884487
2.454298,0.4884487
2.365032,0.4884487
2.320475,0.4884487
2.320475,0.4884487
2.320475,0.4884487
2.365032,0.4440443
2.454298,0.4884487
2.588122,0.4440443
2.677236,0.4884487
2.677236,0.4884487
2.632679,0.4884487
2.588122,0.4884487
2.588122,0.4884487
2.588122,0.4884487
2.588122,0.4884487
2.588122,0.4884487
2.543413,0.4884487
2.498856,0.4884487
2.498856,0.4440443
2.454298,0.4884487
2.409589,0.4884487
2.320475,0.4440443
2.231208,0.4440443
2.186651,0.4884487
2.142094,0.4440443
2.142094,0.4884487
2.142094,0.4440443
2.231208,0.4884487
2.231208,0.4440443
2.275765,0.4440443
2.320475,0.4884487
2.409589,0.4884487
2.498856,0.4884487
2.632679,0.4440443
2.721793,0.4440443
2.721793,0.4440443
2.721793,0.4440443
2.81106,0.4440443
2.855617,0.4884487
2.81106,0.4884487
2.721793,0.4440443
2.588122,0.4440443
2.409589,0.4440443
2.186651,0.4440443
2.097384,0.4440443
1.963561,0.4440443
2.008271,0.4440443
2.097384,0.4440443
2.186651,0.4440443
2.365032,0.4440443
2.409589,0.4440443
2.498856,0.4440443
2.498856,0.4440443
2.498856,0.4440443
2.588122,0.4440443
2.588122,0.4440443
2.454298,0.4440443
2.409589,0.4440443
2.320475,0.4440443
2.320475,0.4440443
2.275765,0.4440443
2.320475,0.4440443
2.320475,0.4440443
2.365032,0.4440443
2.365032,0.4440443
2.409589,0.4440443
2.454298,0.4440443
2.498856,0.4440443
2.588122,0.4440443
2.632679,0.4440443
2.632679,0.4440443
2.588122,0.4440443
2.543413,0.4440443
2.498856,0.4440443
2.543413,0.4440443
2.632679,0.4440443
2.721793,0.4440443
2.766503,0.4440443
2.81106,0.4440443
2.81106,0.4440443
2.721793,0.4440443
2.632679,0.4440443
2.498856,0.4440443
2.409589,0.4440443
2.275765,0.4440443
2.275765,0.4440443
2.231208,0.4440443
2.142094,0.4440443
2.097384,0.4440443
2.052828,0.4440443
2.097384,0.4440443
2.275765,0.4440443
2.498856,0.4440443
2.766503,0.4440443
2.989441,0.4440443
3.03415,0.4440443
2.989441,0.4440443
2.944884,0.4440443
2.766503,0.4440443
2.588122,0.4440443
2.454298,0.4440443
2.409589,0.4440443
2.365032,0.4440443
2.320475,0.4440443
2.320475,0.4440443
2.320475,0.4440443
2.409589,0.4440443
2.543413,0.4440443
2.588122,0.4440443
2.632679,0.4884487
2.632679,0.4440443
2.543413,0.4440443
2.454298,0.4440443
2.454298,0.4440443
2.454298,0.4440443
2.409589,0.4440443
2.409589,0.4440443
2.365032,0.4440443
2.365032,0.4440443
2.409589,0.4440443
2.409589,0.4440443
2.365032,0.4440443
2.365032,0.4440443
2.365032,0.4440443
2.365032,0.4440443
2.320475,0.4440443
2.365032,0.4440443
2.365032,0.4440443
2.409589,0.4440443
2.454298,0.4440443
2.454298,0.4884487
2.543413,0.4440443
2.588122,0.4440443
2.677236,0.4440443
2.721793,0.4440443
2.721793,0.4440443
2.721793,0.4440443
2.766503,0.4440443
2.766503,0.4440443
2.721793,0.4440443
2.632679,0.4440443
2.454298,0.4440443
2.275765,0.4440443
2.097384,0.4440443
1.963561,0.4440443
1.919004,0.4440443
1.919004,0.4884487
2.008271,0.4440443
2.186651,0.4440443
2.320475,0.4440443
2.454298,0.4440443
2.498856,0.4440443
2.543413,0.4440443
2.632679,0.4440443
2.588122,0.4440443
2.543413,0.4440443
2.498856,0.4884487
2.454298,0.4884487
2.365032,0.4884487
2.320475,0.4884487
2.275765,0.4440443
2.275765,0.4884487
2.320475,0.4884487
2.320475,0.4884487
2.320475,0.4440443
2.409589,0.4884487
2.454298,0.4884487
2.498856,0.4884487
2.543413,0.4884487
2.632679,0.5328532
2.677236,0.4884487
2.677236,0.4884487
2.632679,0.5328532
2.632679,0.5328532
2.632679,0.5328532
2.677236,0.5328532
2.766503,0.5328532
2.766503,0.5328532
2.721793,0.5328532
2.677236,0.5328532
2.632679,0.5328532
2.588122,0.5328532
2.498856,0.5328532
2.454298,0.5328532
2.365032,0.5328532
2.320475,0.5328532
2.186651,0.5328532
2.097384,0.5328532
2.097384,0.5328532
2.052828,0.577105
2.186651,0.5328532
2.365032,0.5328532
2.543413,0.5328532
2.766503,0.5328532
2.944884,0.577105
2.989441,0.577105
2.900326,0.577105
2.81106,0.577105
2.677236,0.577105
2.498856,0.577105
2.454298,0.577105
2.409589,0.577105
2.409589,0.577105
2.320475,0.577105
2.320475,0.577105
2.320475,0.577105
2.409589,0.577105
2.498856,0.577105
2.588122,0.577105
2.677236,0.577105
2.632679,0.577105
2.632679,0.577105
2.632679,0.577105
2.632679,0.577105
2.632679,0.6215094
2.588122,0.577105
2.498856,0.577105
2.498856,0.577105
2.454298,0.6215094
2.409589,0.577105
2.365032,0.6215094
2.320475,0.577105
2.231208,0.6215094
2.186651,0.6215094
2.142094,0.6215094
2.142094,0.6215094
2.142094,0.6215094
2.186651,0.6215094
2.231208,0.577105
2.320475,0.6215094
2.454298,0.577105
2.543413,0.6215094
2.588122,0.6215094
2.677236,0.6215094
2.721793,0.6215094
2.721793,0.6215094
2.721793,0.6215094
2.721793,0.6215094
2.766503,0.6215094
2.766503,0.6215094
2.721793,0.6215094
2.632679,0.6215094
2.409589,0.577105
2.142094,0.6215094
2.008271,0.6215094
1.874447,0.6215094
1.919004,0.6215094
2.052828,0.577105
2.231208,0.6215094
2.365032,0.6215094
2.498856,0.6215094
2.543413,0.6215094
2.588122,0.6215094
2.588122,0.6215094
2.588122,0.6215094
2.498856,0.6215094
2.454298,0.6215094
2.409589,0.6215094
2.365032,0.6215094
2.320475,0.6215094
2.320475,0.6215094
2.320475,0.6215094
2.320475,0.6215094
2.365032,0.6215094
2.365032,0.6215094
2.409589,0.577105
2.454298,0.6215094
2.498856,0.6215094
2.543413,0.6215094
2.588122,0.577105
2.632679,0.6215094
2.632679,0.6215094
2.588122,0.6215094
2.588122,0.577105
2.588122,0.577105
2.632679,0.6215094
2.632679,0.6215094
2.677236,0.6215094
2.81106,0.6215094
2.721793,0.6215094
2.721793,0.577105
2.632679,0.6215094
2.498856,0.577105
2.454298,0.6215094
2.365032,0.577105
2.320475,0.6215094
2.231208,0.6215094
2.142094,0.6215094
2.097384,0.577105
2.097384,0.6215094
2.186651,0.6215094
2.275765,0.6215094
2.454298,0.577105
2.677236,0.577105
2.855617,0.6215094
2.855617,0.6215094
2.855617,0.577105
2.81106,0.6215094
2.632679,0.6215094
2.454298,0.577105
2.320475,0.6215094
2.275765,0.6215094
2.231208,0.6215094
2.231208,0.577105
2.231208,0.6215094
2.320475,0.577105
2.454298,0.577105
2.632679,0.6215094
2.766503,0.6215094
2.81106,0.577105
2.81106,0.6215094
2.766503,0.577105
2.721793,0.577105
2.721793,0.577105
2.721793,0.6215094
2.677236,0.6215094
2.677236,0.6215094
2.632679,0.577105
2.632679,0.577105
2.632679,0.577105
2.498856,0.577105
2.409589,0.577105
2.231208,0.577105
2.097384,0.577105
2.008271,0.6215094
1.963561,0.577105
1.963561,0.6215094
2.052828,0.577105
2.142094,0.577105
2.275765,0.577105
2.409589,0.577105
2.543413,0.577105
2.588122,0.577105
2.677236,0.577105
2.632679,0.577105
2.677236,0.5328532
2.632679,0.577105
2.677236,0.577105
2.721793,0.577105
2.721793,0.577105
2.721793,0.577105
2.588122,0.577105
2.409589,0.577105
2.186651,0.577105
2.008271,0.577105
1.963561,0.577105
1.963561,0.577105
2.097384,0.577105
2.275765,0.577105
2.409589,0.577105
2.498856,0.5328532
2.543413,0.5328532
2.588122,0.577105
2.632679,0.5328532
2.632679,0.577105
2.588122,0.577105
2.588122,0.5328532
2.454298,0.577105
2.365032,0.5328532
2.320475,0.5328532
2.320475,0.5328532
2.320475,0.5328532
2.320475,0.5328532
2.365032,0.5328532
2.365032,0.5328532
2.409589,0.5328532
2.454298,0.5328532
2.454298,0.5328532
2.543413,0.5328532
2.632679,0.5328532
2.677236,0.5328532
2.632679,0.5328532
2.588122,0.5328532
2.498856,0.5328532
2.498856,0.5328532
2.632679,0.5328532
2.677236,0.5328532
2.766503,0.5328532
2.81106,0.5328532
2.766503,0.5328532
2.677236,0.5328532
2.588122,0.5328532
2.498856,0.5328532
2.409589,0.5328532
2.275765,0.5328532
2.231208,0.5328532
2.231208,0.5328532
2.186651,0.5328532
2.097384,0.5328532
2.097384,0.5328532
2.097384,0.5328532
2.231208,0.5328532
2.498856,0.5328532
2.721793,0.5328532
2.855617,0.5328532
2.989441,0.5328532
2.989441,0.5328532
2.944884,0.5328532
2.81106,0.5328532
2.632679,0.577105
2.498856,0.5328532
2.409589,0.577105
2.320475,0.5328532
2.320475,0.577105
2.231208,0.5328532
2.275765,0.577105
2.365032,0.577105
2.498856,0.5328532
2.588122,0.5328532
2.677236,0.5328532
2.677236,0.5328532
2.632679,0.577105
2.543413,0.5328532
2.543413,0.5328532
2.543413,0.5328532
2.498856,0.5328532
2.498856,0.5328532
2.543413,0.5328532
2.543413,0.577105
2.498856,0.5328532
2.409589,0.5328532
2.320475,0.5328532
2.275765,0.5328532
2.231208,0.5328532
2.186651,0.5328532
2.142094,0.5328532
2.186651,0.5328532
2.231208,0.5328532
2.275765,0.5328532
2.320475,0.5328532
2.454298,0.5328532
2.498856,0.5328532
2.588122,0.5328532
2.677236,0.5328532
2.677236,0.5328532
2.677236,0.5328532
2.677236,0.5328532
2.721793,0.5328532
2.81106,0.5328532
2.81106,0.5328532
2.766503,0.5328532
2.588122,0.5328532
2.365032,0.5328532
2.186651,0.5328532
2.097384,0.5328532
1.963561,0.5328532
1.963561,0.5328532
2.008271,0.5328532
2.186651,0.5328532
2.275765,0.5328532
2.409589,0.5328532
2.498856,0.5328532
2.588122,0.5328532
2.632679,0.5328532
2.632679,0.5328532
2.543413,0.5328532
2.454298,0.5328532
2.365032,0.5328532
2.275765,0.5328532
2.231208,0.5328532
2.231208,0.5328532
2.275765,0.5328532
2.365032,0.5328532
2.409589,0.5328532
2.454298,0.5328532
2.454298,0.5328532
2.454298,0.5328532
2.498856,0.5328532
2.543413,0.5328532
2.588122,0.5328532
2.632679,0.5328532
2.588122,0.5328532
2.454298,0.5328532
2.409589,0.5328532
2.409589,0.5328532
2.454298,0.5328532
2.498856,0.5328532
2.632679,0.5328532
2.721793,0.5328532
2.81106,0.5328532
2.81106,0.5328532
2.766503,0.5328532
2.721793,0.5328532
2.632679,0.5328532
2.498856,0.5328532
2.409589,0.5328532
2.320475,0.5328532
2.275765,0.5328532
2.142094,0.5328532
2.097384,0.5328532
2.097384,0.5328532
2.231208,0.5328532
2.454298,0.5328532
2.721793,0.5328532
2.900326,0.5328532
2.989441,0.5328532
2.989441,0.5328532
2.900326,0.5328532
2.677236,0.5328532
2.498856,0.5328532
2.365032,0.5328532
2.275765,0.5328532
2.275765,0.5328532
2.231208,0.5328532
2.186651,0.5328532
2.231208,0.5328532
2.275765,0.5328532
2.454298,0.5328532
2.543413,0.5328532
2.632679,0.5328532
2.632679,0.5328532
2.632679,0.5328532
2.677236,0.5328532
2.721793,0.5328532
2.721793,0.5328532
2.632679,0.5328532
2.632679,0.5328532
2.588122,0.5328532
2.543413,0.5328532
2.454298,0.5328532
2.409589,0.5328532
2.320475,0.5328532
2.275765,0.5328532
2.231208,0.5328532
2.142094,0.5328532
2.142094,0.5328532
2.186651,0.5328532
2.186651,0.5328532
2.186651,0.5328532
2.275765,0.5328532
2.320475,0.5328532
2.454298,0.5328532
2.588122,0.5328532
2.677236,0.5328532
2.677236,0.5328532
2.721793,0.5328532
2.677236,0.5328532
2.721793,0.5328532
2.766503,0.5328532
2.766503,0.5328532
2.766503,0.5328532
2.588122,0.5328532
2.409589,0.5328532
2.231208,0.4884487
2.052828,0.5328532
1.963561,0.5328532
1.963561,0.5328532
2.052828,0.5328532
2.186651,0.5328532
2.275765,0.5328532
2.409589,0.5328532
2.498856,0.5328532
2.543413,0.5328532
2.588122,0.4884487
2.588122,0.5328532
2.588122,0.4884487
2.543413,0.4884487
2.454298,0.5328532
2.365032,0.5328532
2.320475,0.4884487
2.275765,0.4884487
2.320475,0.5328532
2.365032,0.5328532
2.409589,0.4884487
2.409589,0.4884487
2.454298,0.5328532
2.454298,0.4884487
2.498856,0.4884487
2.543413,0.5328532
2.588122,0.4884487
2.588122,0.4884487
2.588122,0.4884487
2.543413,0.4884487
2.543413,0.4884487
2.632679,0.4884487
2.677236,0.4884487
2.721793,0.4884487
2.721793,0.4884487
2.721793,0.4884487
2.721793,0.4884487
2.677236,0.4884487
2.588122,0.4884487
2.498856,0.4884487
2.409589,0.4884487
2.320475,0.5328532
2.275765,0.5328532
2.186651,0.4884487
2.142094,0.4884487
2.097384,0.5328532
2.008271,0.4884487
2.097384,0.4884487
2.231208,0.4884487
2.498856,0.4884487
2.721793,0.5328532
2.900326,0.4884487
2.944884,0.5328532
2.944884,0.5328532
2.855617,0.5328532
2.766503,0.4884487
2.632679,0.4884487
2.543413,0.4884487
2.454298,0.4884487
2.409589,0.4884487
2.320475,0.4884487
2.320475,0.4884487
2.275765,0.5328532
2.409589,0.4884487
2.498856,0.4884487
2.632679,0.4884487
2.721793,0.5328532
2.721793,0.4884487
2.677236,0.4884487
2.588122,0.4884487
2.588122,0.4884487
2.588122,0.4884487
2.543413,0.4884487
2.498856,0.4884487
2.498856,0.4884487
2.498856,0.4884487
2.454298,0.4884487
2.409589,0.4884487
2.320475,0.4884487
2.231208,0.4884487
2.142094,0.4884487
2.142094,0.5328532
2.097384,0.4884487
2.097384,0.4884487
2.186651,0.4884487
2.231208,0.4884487
2.275765,0.4884487
2.365032,0.4884487
2.454298,0.4884487
2.588122,0.4884487
2.632679,0.4884487
2.677236,0.4884487
2.677236,0.5328532
2.677236,0.4884487
2.766503,0.5328532
2.81106,0.4884487
2.855617,0.4884487
2.855617,0.5328532
2.677236,0.4884487
2.454298,0.4884487
2.231208,0.4884487
2.008271,0.4884487
1.963561,0.4884487
1.963561,0.4884487
2.097384,0.4884487
2.186651,0.4884487
2.365032,0.5328532
2.409589,0.4884487
2.454298,0.4884487
2.498856,0.4884487
2.498856,0.4884487
2.543413,0.4440443
2.498856,0.4884487
2.543413,0.4884487
2.454298,0.4884487
2.365032,0.4884487
2.365032,0.4884487
2.320475,0.4884487
2.320475,0.4884487
2.320475,0.4440443
2.320475,0.4884487
2.320475,0.4884487
2.320475,0.4884487
2.409589,0.4884487
2.454298,0.4440443
2.498856,0.4884487
2.588122,0.4884487
2.677236,0.4884487
2.677236,0.4884487
2.632679,0.4440443
2.588122,0.4440443
2.543413,0.4440443
2.588122,0.4884487
2.677236,0.4884487
2.766503,0.4884487
2.766503,0.4440443
2.721793,0.4884487
2.677236,0.4884487
2.588122,0.4440443
2.498856,0.4884487
2.365032,0.4884487
2.275765,0.4884487
2.231208,0.4884487
2.231208,0.4884487
2.186651,0.4884487
2.142094,0.4884487
2.097384,0.4884487
2.142094,0.4884487
2.275765,0.4884487
2.498856,0.4884487
2.721793,0.4884487
2.900326,0.4884487
3.03415,0.4884487
2.989441,0.4884487
2.944884,0.4884487
2.81106,0.4884487
2.632679,0.4884487
2.454298,0.4884487
2.365032,0.4884487
2.320475,0.4884487
2.275765,0.4884487
2.275765,0.4884487
2.275765,0.4884487
2.454298,0.4884487
2.543413,0.4884487
2.632679,0.4884487
2.632679,0.4884487
2.632679,0.4884487
2.588122,0.4884487
2.588122,0.4884487
2.588122,0.4884487
2.632679,0.5328532
2.588122,0.4884487
2.588122,0.4884487
2.498856,0.5328532
2.498856,0.4884487
2.498856,0.4884487
2.409589,0.5328532
2.320475,0.4884487
2.231208,0.4884487
2.142094,0.5328532
2.142094,0.5328532
2.142094,0.5328532
2.142094,0.5328532
2.142094,0.5328532
2.231208,0.5328532
2.320475,0.5328532
2.454298,0.5328532
2.543413,0.5328532
2.632679,0.5328532
2.677236,0.5328532
2.677236,0.5328532
2.677236,0.5328532
2.677236,0.5328532
2.721793,0.5328532
2.81106,0.5328532
2.81106,0.5328532
2.766503,0.5328532
2.632679,0.5328532
2.454298,0.5328532
2.231208,0.5328532
2.052828,0.5328532
1.963561,0.5328532
1.963561,0.5328532
2.052828,0.5328532
2.142094,0.5328532
2.275765,0.5328532
2.409589,0.5328532
2.454298,0.5328532
2.498856,0.5328532
2.588122,0.5328532
2.588122,0.5328532
2.588122,0.5328532
2.588122,0.5328532
2.454298,0.5328532
2.320475,0.5328532
2.320475,0.5328532
2.320475,0.577105
2.275765,0.5328532
2.320475,0.5328532
2.320475,0.577105
2.365032,0.5328532
2.365032,0.577105
2.409589,0.577105
2.454298,0.577105
2.498856,0.5328532
2.588122,0.577105
2.677236,0.577105
2.677236,0.5328532
2.543413,0.5328532
2.498856,0.5328532
2.498856,0.5328532
2.632679,0.577105
2.766503,0.577105
2.81106,0.577105
2.81106,0.577105
2.766503,0.577105
2.677236,0.577105
2.588122,0.577105
2.498856,0.577105
2.454298,0.577105
2.365032,0.577105
2.320475,0.577105
2.231208,0.6215094
2.231208,0.577105
2.142094,0.577105
2.052828,0.577105
2.052828,0.6215094
2.186651,0.6215094
2.409589,0.6215094
2.632679,0.6215094
2.900326,0.6215094
3.03415,0.6215094
3.03415,0.6215094
2.944884,0.6215094
2.766503,0.6215094
2.632679,0.6215094
2.498856,0.6215094
2.454298,0.6215094
2.365032,0.6215094
2.320475,0.6215094
2.320475,0.6215094
2.275765,0.6215094
2.320475,0.6215094
2.454298,0.6215094
2.543413,0.6215094
2.632679,0.6659139
2.677236,0.6215094
2.632679,0.6659139
2.588122,0.6659139
2.543413,0.6659139
2.543413,0.6659139
2.543413,0.6659139
2.543413,0.6659139
2.543413,0.6659139
2.543413,0.6659139
2.498856,0.6659139
2.454298,0.7101657
2.365032,0.6659139
2.320475,0.6659139
2.231208,0.6659139
2.186651,0.7101657
2.097384,0.6659139
2.097384,0.6659139
2.097384,0.6659139
2.142094,0.6659139
2.275765,0.6659139
2.409589,0.6659139
2.498856,0.7101657
2.588122,0.7101657
2.677236,0.7101657
2.721793,0.7101657
2.721793,0.7101657
2.766503,0.7101657
2.766503,0.7101657
2.81106,0.7101657
2.81106,0.7101657
2.81106,0.7101657
2.721793,0.7101657
2.543413,0.7101657
2.320475,0.7101657
2.097384,0.7101657
1.963561,0.7101657
1.919004,0.7101657
1.963561,0.6659139
2.052828,0.7101657
2.142094,0.7101657
2.231208,0.7101657
2.320475,0.7101657
2.365032,0.6659139
2.409589,0.7101657
2.409589,0.7101657
2.454298,0.7101657
2.498856,0.7101657
2.454298,0.6659139
2.409589,0.7101657
2.454298,0.7101657
2.454298,0.7101657
2.498856,0.7101657
2.543413,0.7101657
2.498856,0.6659139
2.498856,0.7101657
2.498856,0.7101657
2.498856,0.7101657
2.543413,0.7101657
2.588122,0.7101657
2.632679,0.7101657
2.677236,0.7101657
2.677236,0.7101657
2.632679,0.6659139
2.588122,0.6659139
2.588122,0.7101657
2.588122,0.6659139
2.588122,0.7101657
2.632679,0.6659139
2.677236,0.7101657
2.632679,0.7101657
2.588122,0.7101657
2.543413,0.6659139
2.498856,0.6659139
2.409589,0.7101657
2.320475,0.7101657
2.320475,0.7101657
2.231208,0.7101657
2.142094,0.7101657
2.142094,0.6659139
2.097384,0.7101657
2.142094,0.6659139
2.275765,0.7101657
2.454298,0.7101657
2.677236,0.7101657
2.855617,0.7101657
2.989441,0.7101657
2.944884,0.6659139
